ID,roi_10_coords_-24_-39_-2_roi.mat,roi_11_coords_-38_7_-12_roi.mat,roi_12_coords_-39_-6_8_roi.mat,roi_13_coords_-41_-17_-4_roi.mat,roi_14_coords_-6_-88_-3_roi.mat,roi_15_coords_-11_-18_-19_roi.mat,roi_16_coords_-47_29_27_roi.mat,roi_17_coords_-8_14_-6_roi.mat,roi_18_coords_-14_0_3_roi.mat,roi_19_coords_-9_44_-2_roi.mat,roi_1_coords_-6_-6_28_roi.mat,roi_20_coords_-37_-20_19_roi.mat,roi_21_coords_-6_-37_27_roi.mat,roi_22_coords_-13_-72_40_roi.mat,roi_23_coords_-17_7_-10_roi.mat,roi_24_coords_-22_-46_63_roi.mat,roi_25_coords_-8_-16_1_roi.mat,roi_26_coords_6_-6_28_roi.mat,roi_27_coords_11_18_4_roi.mat,roi_28_coords_48_7_1_roi.mat,roi_29_coords_8_-69_23_roi.mat,roi_2_coords_-10_14_9_roi.mat,roi_31_coords_38_10_14_roi.mat,roi_32_coords_34_41_-12_roi.mat,roi_35_coords_24_-39_-2_roi.mat,roi_36_coords_35_11_-4_roi.mat,roi_37_coords_41_-8_-6_roi.mat,roi_38_coords_36_-12_6_roi.mat,roi_39_coords_6_-88_-3_roi.mat,roi_3_coords_-50_-2_1_roi.mat,roi_40_coords_7_-20_-14_roi.mat,roi_41_coords_35_29_29_roi.mat,roi_42_coords_8_11_-6_roi.mat,roi_43_coords_25_-11_-4_roi.mat,roi_44_coords_13_44_16_roi.mat,roi_45_coords_38_-20_19_roi.mat,roi_46_coords_6_-37_27_roi.mat,roi_47_coords_6_-61_56_roi.mat,roi_48_coords_25_4_3_roi.mat,roi_49_coords_22_-46_63_roi.mat,roi_4_coords_-8_-69_23_roi.mat,roi_50_coords_6_-16_2_roi.mat,roi_6_coords_-38_10_10_roi.mat,roi_7_coords_-25_33_-16_roi.mat,roi_8_coords_-30_26_-5_roi.mat
2001,-0.883923281,1.707312092,0.6845141,4.763511639,1.107506474,0.359635901,0.356426653,0.271096689,-0.897937091,1.155285731,2.167055452,1.444741691,-2.101031956,0.508542331,0.918821307,1.460327134,3.673247101,1.432842169,-0.973690617,1.068311152,1.533606879,-0.232126408,1.116728781,1.752157569,-2.344293828,2.206923525,2.740269955,3.116511519,-0.989482726,-0.861555025,3.256345355,0.260218507,1.050599738,3.134582503,0.298045526,0.102124264,-0.172883547,2.070774754,0.598989049,0.635618484,-0.11044942,4.231035403,2.21254136,1.501736522,0.645221689
2002,0.263793991,2.392643849,0.13850946,-1.265031352,-4.560338574,-1.255095481,0.808011181,1.647466906,0.693726275,1.324164398,2.452159833,0.375977173,0.423751878,1.438745769,0.121797251,1.038375326,2.478981075,-0.682282108,0.764943336,0.482146196,0.573410157,1.582063511,0.010993511,-0.097693801,1.56817225,1.763017811,-2.13706824,-1.251361295,1.603360476,-2.431833118,-1.795799697,1.209780422,-0.290498088,-0.04246449,1.627750597,-1.872030119,-0.489409328,-1.238809425,1.80476953,0.426627489,1.563087113,-0.872497943,-0.2710237,-2.282085896,1.674877839
2003,-2.335737168,4.156308475,5.529828037,2.202443886,-3.677415863,2.249271282,1.287563218,4.897503227,2.277051208,8.002902781,4.280069991,4.119758986,1.535043568,-1.238889995,3.029723419,-0.944618599,3.603728088,0.962442305,3.362289872,0.974036576,-1.562947683,3.611018731,2.109800005,2.91806221,1.506079628,0.656509523,0.302112702,5.880971143,4.652408432,-0.12905536,4.235469638,2.342405643,9.952501969,-0.185775973,3.683909832,2.026465629,2.785589418,-3.174674165,2.645590276,-1.711676912,3.071711027,6.619214553,0.019843553,-1.079556942,-0.427489781
2004,1.511578834,-5.331396211,-5.218872524,-9.442603226,0.226834383,3.391239888,-3.949644365,5.56881363,0.111090199,1.332943051,-5.365426264,-4.982217113,-3.135922827,-3.781107606,0.473585493,3.012160108,-3.306925458,-6.857982368,-2.208562433,-5.964556278,-0.445933461,3.49848168,-1.12937572,0.992932677,1.746504478,-3.976078761,-6.389665042,0.268189869,-3.036973842,-6.595487289,-0.063228981,-1.296374728,2.009991861,-0.736241435,-0.573258494,-1.988123026,-2.571985361,1.207996035,-5.369611642,0.775717711,-6.175581573,-5.447509161,-4.615739607,0.511158288,-4.508145391
2006,-3.42530647,2.658569185,0.483140488,1.614955202,-0.080610642,0.375301398,0.849178052,0.39986857,-0.593045981,-2.201497068,-0.238024031,0.620891622,-3.500762327,-3.072735849,2.811822006,0.353751172,2.5084622,-3.17163799,-2.032474873,-0.019967186,-0.991398286,-1.913332628,-0.051725439,2.844640493,-0.774445956,0.710040764,-1.204455469,-5.011717343,4.132006815,-1.214857739,-0.737360339,-1.446199792,2.560695085,-0.013887798,1.557010344,-6.083956656,0.72855429,-5.033306508,-3.111104136,-0.448833474,-2.216318111,-1.652018351,1.015723619,-1.307720184,2.377753798
2007,2.458533841,0.682172119,2.169562519,1.988887424,7.872101764,0.781962893,1.184119346,1.959301814,1.685437114,1.109734389,1.42934939,1.171879166,1.957527196,1.111765684,-1.601985664,2.268633141,1.943420212,0.456282615,-2.547652019,-0.307645433,3.631041263,-2.088002833,1.226378754,0.056082338,3.890315757,-0.684225632,4.393653059,0.511106239,6.005711535,1.587968045,4.056138392,-0.503502933,-0.113908337,1.239364999,-0.870012232,4.14132354,-0.804065039,0.078966674,-0.213508567,0.833450844,5.005036965,-3.420169754,1.928489574,-2.224087715,0.390091697
2008,1.878738871,2.900287829,3.155272397,2.312341047,-2.62995327,-1.577689186,-0.173882335,-1.763259806,-2.036895013,0.862336331,1.003376688,-1.20137406,-0.728364776,-0.894883079,0.010770411,-0.52111712,-1.299329442,-1.073196899,-1.302038187,-0.408876703,-1.636650449,-1.435265327,-1.568844026,-0.69702208,-0.782204731,0.118647714,2.165453474,-0.330760997,-1.300153869,0.675432738,-0.119585076,-0.820864888,0.693536768,0.734256125,-0.899866382,1.216344548,1.111531507,-0.549399645,-0.003626569,-2.257456335,0.424232113,2.468885968,0.14693516,2.115818977,-0.441490008
2009,4.922662662,0.708067485,4.666503114,2.767735583,1.615362254,0.774314584,4.052598209,-0.468044075,1.256421334,-1.307528669,-0.195593304,3.638733425,0.111258803,-2.222484825,2.051786067,-1.04271434,3.328752308,-0.941901024,0.714907887,0.240522263,-5.166566619,-0.247163972,0.603350775,-1.151203811,0.157993484,-0.463249841,1.278577663,-0.156838991,0.691364722,1.737319428,1.052414845,1.372884123,1.4938427,-1.076863049,-0.290359521,-1.720495131,-0.925054992,-6.535336171,-1.464483544,-1.153663955,-4.883008124,3.359624679,0.219807442,1.298061252,3.279725999
2010,-3.830953926,1.809363752,2.453444921,0.727870997,0.219374226,1.037147439,-3.373280991,1.460592202,0.130415657,-2.425990517,-2.947689789,-1.612313922,-1.81956237,-1.811810249,0.845133968,-2.697592176,-4.705834679,-1.769743184,2.032587332,1.203634836,1.729465982,0.036418702,-0.63552772,0.324792862,-4.742044007,-0.003021713,-2.985873549,-1.180320516,1.548953109,-0.716047331,-4.661521524,0.494699937,1.017739497,0.502334431,-1.980768837,1.036522374,-0.124355952,-0.562059934,-0.574204471,-1.736970308,-2.008150826,-6.421941221,-0.487725622,2.593228102,1.076822694
2011,0.674989083,2.762015627,1.261980191,-0.077025495,-1.020620954,0.675048224,1.632298873,4.379353801,2.927490343,1.244232257,-2.678264483,-0.87159639,-1.525709502,-4.920123387,2.34909418,0.327418893,2.244614331,-0.620975758,2.903763818,-0.841975973,-3.876634387,4.486129277,-1.176866704,-0.350011587,2.118156105,1.074393399,0.88819694,0.417320447,6.289932685,-2.951325674,4.352254521,0.413843923,5.305196829,0.383437268,-0.695977578,-1.600802706,-2.176525888,-2.493974876,-0.784856033,-1.600933102,-4.265077097,1.444721914,-0.078680176,2.466656685,0.36538364
