ID,'roi_10_coords_-24_-39_-2_roi.mat','roi_11_coords_-38_7_-12_roi.mat','roi_12_coords_-39_-6_8_roi.mat','roi_13_coords_-41_-17_-4_roi.mat','roi_14_coords_-6_-88_-3_roi.mat','roi_15_coords_-11_-18_-19_roi.mat','roi_16_coords_-47_29_27_roi.mat','roi_17_coords_-8_14_-6_roi.mat','roi_18_coords_-14_0_3_roi.mat','roi_19_coords_-9_44_-2_roi.mat','roi_1_coords_-6_-6_28_roi.mat','roi_20_coords_-37_-20_19_roi.mat','roi_21_coords_-6_-37_27_roi.mat','roi_22_coords_-13_-72_40_roi.mat','roi_23_coords_-17_7_-10_roi.mat','roi_24_coords_-22_-46_63_roi.mat','roi_25_coords_-8_-16_1_roi.mat','roi_26_coords_6_-6_28_roi.mat','roi_27_coords_11_18_4_roi.mat','roi_28_coords_48_7_1_roi.mat','roi_29_coords_8_-69_23_roi.mat','roi_2_coords_-10_14_9_roi.mat','roi_30_coords_3_37_-16_roi.mat','roi_31_coords_38_10_14_roi.mat','roi_32_coords_34_41_-12_roi.mat','roi_35_coords_24_-39_-2_roi.mat','roi_36_coords_35_11_-4_roi.mat','roi_37_coords_41_-8_-6_roi.mat','roi_38_coords_36_-12_6_roi.mat','roi_39_coords_6_-88_-3_roi.mat','roi_3_coords_-50_-2_1_roi.mat','roi_40_coords_7_-20_-14_roi.mat','roi_41_coords_35_29_29_roi.mat','roi_42_coords_8_11_-6_roi.mat','roi_43_coords_25_-11_-4_roi.mat','roi_44_coords_13_44_16_roi.mat','roi_45_coords_38_-20_19_roi.mat','roi_46_coords_6_-37_27_roi.mat','roi_47_coords_6_-61_56_roi.mat','roi_48_coords_25_4_3_roi.mat','roi_49_coords_22_-46_63_roi.mat','roi_4_coords_-8_-69_23_roi.mat','roi_50_coords_6_-16_2_roi.mat','roi_6_coords_-38_10_10_roi.mat','roi_7_coords_-25_33_-16_roi.mat','roi_8_coords_-30_26_-5_roi.mat','roi_9_coords_-25_46_-11_roi.mat'
2001,-0.023928838,-0.36283078,3.748734554,-2.264323766,1.674063157,-1.828661496,1.487566403,0.639514001,3.321116523,1.395517899,-1.430780213,2.580343187,-3.130004594,2.35051777,0.708411311,1.923646988,4.519609402,-1.876421345,-4.786440933,-0.359860621,-1.409009518,-2.719453697,4.063579753,2.190397653,-0.409413427,-1.998023399,1.311659747,0.689603634,2.929858118,4.483845062,1.311601921,1.931064097,0.486108754,4.603217816,1.960242999,0.549639507,-0.047639062,0.524195349,-0.376880213,0.484830452,0.100621864,-1.475797229,-0.995271747,1.629494754,0.237858255,2.201522468,-0.258992401
2002,-2.787626698,2.449724938,1.685161193,-1.039138091,2.014735255,-3.515798395,0.409218418,0.013877139,1.396908281,4.653514034,0.129366218,0.195317386,1.40623691,-0.522234378,1.705045428,1.377283042,-1.47846672,-0.010870233,-0.254079219,3.418387899,1.290802941,-1.781222971,5.14616856,0.190063617,-0.07056096,-0.585599314,3.115915162,0.657156347,0.299892497,1.996135567,-0.767103906,-0.38032725,1.778250302,1.377617839,-0.0612989,-0.297417222,-0.74636434,-1.593507343,1.022585677,2.782902102,0.934970292,4.796215285,-2.330295694,0.953266774,1.873508564,0.18698541,1.219128492
2003,0.620892968,2.265226928,2.272885585,-1.386206747,-3.289130414,-1.005084888,-2.220643355,-2.90505868,0.388545186,2.058678716,0.426555879,0.57308409,-0.371906677,-3.229005667,0.040676973,-1.799217614,-5.412040091,2.415928467,-0.118666366,0.081481399,-7.213705157,-2.866238286,2.577775113,1.36501089,-0.529660706,1.716200812,2.595415355,1.177416655,0.640224934,0.86530479,-2.305837786,1.418018535,1.024124002,3.309381542,-1.786852161,2.229571826,-5.29989396,-0.916104029,-1.883649735,-2.002934158,-1.358768531,-7.541102925,-4.609146829,1.09812234,-0.692274833,0.435192477,-1.186193844
2005,0.106878394,-7.454549615,-3.613878564,-6.136224656,1.143480166,5.823808542,-4.667873761,-3.01323648,-6.016196742,12.49888422,-3.085301899,1.055693143,-3.04015727,-10.08944497,-6.068995306,4.111944131,2.588318494,-9.383522724,1.951847981,-9.879099838,-20.17973143,5.887173276,25.20775747,-15.94963377,-6.02344203,-2.889074983,-5.035178363,-7.631674992,-6.44168097,-3.046607558,-4.316783315,-2.643796625,-3.253389549,-7.530581364,-8.688577464,-10.06392203,-4.677652364,-9.273020065,-6.989177636,-8.338403314,22.64702963,-14.17638763,1.506672403,-4.436739449,-2.554666349,0.365047125,-27.19615658
2006,2.911017794,-0.861762803,-0.756373333,3.560337757,-1.671377899,-2.440675505,1.633121245,-3.765890855,-1.55819134,3.953869434,1.577251335,0.601186412,1.123811913,0.765398017,0.597490953,0.322535824,-0.762996178,1.279345178,1.709555855,-1.142780012,2.57906297,-2.477343942,7.504301131,1.050592738,-1.97806881,1.832480688,1.135038978,-5.763650051,-2.031730936,-3.439945511,-4.313624374,2.652881757,7.059725474,1.142641176,-3.982934748,3.915211942,1.741158541,1.791458958,7.191584064,-4.196363335,0.329416544,-0.874476287,-1.918819424,0.036212143,1.361917745,0.474728923,0.970164776
2007,2.556158544,0.81645435,3.187457723,3.260798595,-3.584413034,1.341206613,-0.730406391,3.336479317,0.745903016,-0.151130746,-3.156527959,6.012568888,-1.501455708,1.606966737,-0.819788853,2.248588621,-0.106955891,-2.134476807,0.759209907,2.814562219,5.198100887,-2.689817453,-1.325325035,4.361170552,0.964811277,0.225014993,5.390669979,5.228930906,2.554758313,-1.067921228,2.605885416,-1.091555434,-0.747184579,2.598222118,1.040774764,1.17700511,6.376140237,-4.125147601,4.98199432,1.379256658,2.171202044,-1.410055841,-6.524376491,5.135707679,0.897817884,1.125466834,-0.84203425
2008,2.537191316,0.753521407,2.1085602,3.031832006,4.08512605,0.022723232,1.088865079,0.687242608,2.509181203,0.675851079,2.646653301,1.179431426,1.09126636,-0.724288892,-0.776118327,-0.352690749,1.614611524,2.647989543,-0.549568347,-0.028795152,0.178000625,2.588880009,2.591278911,0.554277106,0.184001837,5.048740108,1.231765476,1.439751596,0.977075659,1.388726298,0.324246051,0.552725989,1.30966197,2.915582301,3.184114744,0.439056354,3.62117025,2.647699862,0.218095469,4.087093054,4.523884957,3.662082565,3.173273001,1.438904476,0.310044715,-0.170527698,1.539488815
2009,-0.781605682,-0.166393561,1.987867364,-5.053505214,6.339576471,3.007627718,4.554547663,4.464987383,5.939551836,-0.283452206,-1.270621645,-1.456055544,3.267420119,1.855934499,1.251851709,0.113315207,-0.420406363,-0.452290528,3.202279791,-2.643317834,-1.484818917,1.124767358,1.656623222,-2.565257983,-1.19867772,-0.193226513,3.392113876,-1.546808201,-2.786589876,8.001816047,-1.447592773,1.128838762,0.58976743,6.281277843,0.088222892,-0.545164283,-3.748060544,2.346736038,0.347850977,4.224892105,-2.578960354,1.726103145,-2.155463656,-1.891292999,1.837186209,3.397517186,1.522066648
2010,0.484670692,4.066211411,7.195109259,5.490067829,3.747954919,5.055496166,0.152967836,2.036919268,2.577569126,2.115000479,3.344885932,5.563646959,1.408293968,1.836612804,3.247910166,0.482814843,8.425127057,5.666959017,1.972464778,2.738094778,-1.93271714,-0.137924658,-1.665418386,9.134520011,1.334665765,1.36738519,5.368330953,2.952910881,4.638486319,3.12288942,2.060603599,9.125425838,1.014034746,-5.724709043,1.81139271,2.675359229,8.000119622,3.066440889,1.024569597,5.920073156,0.08801249,-1.369824244,19.29949364,1.433140109,1.761904027,6.474647597,2.161153664
2011,-0.491909313,-2.075330929,-0.179408585,-0.138260106,0.277524127,-4.956869626,0.07260056,-0.51966119,-0.466230095,3.927536379,1.070530878,0.330038216,1.740862498,-0.672079885,-1.096095361,0.734275046,-0.461734567,1.218113004,-1.861940798,0.259476482,-2.426897095,-0.080574765,-14.29521275,-1.711503718,0.413733501,-2.996009054,-0.544934664,-5.29913439,2.316755497,1.515315983,-6.203273565,-2.332884418,0.929222276,-4.766668799,0.829852463,0.080207113,0.633689856,0.423972989,0.979368012,-1.102541979,-0.299907992,-4.05536934,-3.195406601,0.336191454,0.482070941,-4.04593424,0.641759485
2012,-0.094855851,2.002135019,0.730373648,0.917587154,-2.808000083,-1.375614765,-0.642198959,-3.427239651,-0.648742219,-4.159540549,-0.861982874,-1.051300991,-1.153039553,-0.667376104,1.122452461,1.275471938,-1.863501328,-0.252641068,-4.906099818,-1.390064729,-7.430945839,-1.328954024,-4.483328134,-2.748143803,0.208728455,0.0339715,0.383502871,-0.661845688,-1.941131241,-6.510570543,-2.721135132,0.515590461,-1.43084567,-2.174660753,0.04618332,-0.130477981,-4.844348485,-1.081485544,1.996255273,-1.532744087,-0.134292992,-10.94117307,0.534847783,0.178942247,2.947554267,-1.768860269,-0.031376924
2013,0.79077,11.68760075,7.451731168,4.02024268,3.289198153,3.951920294,9.695307235,2.069579101,4.715811688,1.364028276,5.293520606,0.260135039,3.16678547,7.437223792,2.529387968,0.486834895,5.399554215,5.260080511,5.004278643,3.618007457,2.2977943,3.087474417,6.114624977,4.127220327,-1.383723379,-0.034536726,5.209202362,5.589263869,3.808847639,3.452147106,2.965126719,4.533112569,1.13844563,4.750274687,1.651029856,2.508426744,1.398050255,4.364906764,2.580913097,1.633898753,2.135576252,4.258931638,5.161630212,6.698271473,4.321552383,3.705739611,-1.500480361
2014,1.047318786,1.014835526,1.181374551,0.065843713,1.645131245,-0.052823274,-8.783814425,1.0186471,-1.456224519,-0.003007439,-1.185363517,1.598589649,-1.061353102,-2.415067662,0.787391558,0.369550347,1.435442569,-1.448822887,0.025661598,0.358333255,-1.544568179,0.067980204,-3.790258527,1.200287981,0.115817668,-1.082728027,0.815298435,-4.342579143,-2.583442283,1.910361606,-1.803680574,-1.175856074,2.991302557,-2.603807082,-3.649969864,0.686399816,-5.775345092,0.43350154,1.634385349,-0.917697261,0.747584493,-5.69080656,-1.458599501,2.098632137,2.09019001,0.130417848,-1.532195439
2015,6.626673713,2.596505733,-6.436082391,2.865511589,1.933548894,-0.778148073,1.448627349,2.942955924,1.598561348,-2.014988245,-12.17951236,-6.273404162,-2.177697548,-7.6259815,-0.5187279,-0.216222105,3.235530506,-9.317783143,-7.717438416,-7.795834747,-5.195928647,-4.991580453,2.792811155,-7.437366789,1.479069124,6.960248398,-2.317775874,2.941469391,-3.672536755,2.243398466,-4.67082551,-2.03571751,-2.149877871,10.79109126,-2.806937528,-7.907587015,-11.73582122,-3.013580865,-5.397220367,-1.812420968,-5.486426959,-1.545417546,1.441062312,0.544676302,1.184107027,0.282497676,2.250853032
2016,-1.184763719,1.505153851,-1.044145126,-3.380339277,0.792770411,-4.979459272,-0.016102791,1.396525301,2.226552354,1.583367955,0.29418507,-1.387217312,3.623423997,5.531689012,2.998294241,0.209275992,3.872511669,-1.399331798,4.146195945,0.537106723,1.426142176,2.468538905,3.136754423,1.8101621,-0.550600109,-2.18978315,2.112723694,-0.622650124,1.676300174,1.53958198,-2.68542575,1.168846951,-1.849631296,1.476184269,-0.324241392,2.603249262,-0.233033548,5.01914008,-1.079045481,1.993204058,1.588963411,0.456127792,0.912658648,-0.419555709,-0.517420366,2.966109201,0.311364392
