ID,roi_10_coords_-24_-39_-2_roi.mat,roi_11_coords_-38_7_-12_roi.mat,roi_12_coords_-39_-6_8_roi.mat,roi_13_coords_-41_-17_-4_roi.mat,roi_14_coords_-6_-88_-3_roi.mat,roi_15_coords_-11_-18_-19_roi.mat,roi_16_coords_-47_29_27_roi.mat,roi_17_coords_-8_14_-6_roi.mat,roi_18_coords_-14_0_3_roi.mat,roi_19_coords_-9_44_-2_roi.mat,roi_1_coords_-6_-6_28_roi.mat,roi_20_coords_-37_-20_19_roi.mat,roi_21_coords_-6_-37_27_roi.mat,roi_22_coords_-13_-72_40_roi.mat,roi_23_coords_-17_7_-10_roi.mat,roi_24_coords_-22_-46_63_roi.mat,roi_25_coords_-8_-16_1_roi.mat,roi_26_coords_6_-6_28_roi.mat,roi_27_coords_11_18_4_roi.mat,roi_28_coords_48_7_1_roi.mat,roi_29_coords_8_-69_23_roi.mat,roi_2_coords_-10_14_9_roi.mat,roi_31_coords_38_10_14_roi.mat,roi_32_coords_34_41_-12_roi.mat,roi_35_coords_24_-39_-2_roi.mat,roi_36_coords_35_11_-4_roi.mat,roi_37_coords_41_-8_-6_roi.mat,roi_38_coords_36_-12_6_roi.mat,roi_39_coords_6_-88_-3_roi.mat,roi_3_coords_-50_-2_1_roi.mat,roi_40_coords_7_-20_-14_roi.mat,roi_41_coords_35_29_29_roi.mat,roi_42_coords_8_11_-6_roi.mat,roi_43_coords_25_-11_-4_roi.mat,roi_44_coords_13_44_16_roi.mat,roi_45_coords_38_-20_19_roi.mat,roi_46_coords_6_-37_27_roi.mat,roi_47_coords_6_-61_56_roi.mat,roi_48_coords_25_4_3_roi.mat,roi_49_coords_22_-46_63_roi.mat,roi_4_coords_-8_-69_23_roi.mat,roi_50_coords_6_-16_2_roi.mat,roi_6_coords_-38_10_10_roi.mat,roi_7_coords_-25_33_-16_roi.mat,roi_8_coords_-30_26_-5_roi.mat
2001,-0.699227695,3.187444918,-0.09164959,3.124841072,0.154161858,0.589019079,-0.02017101,0.635584125,-1.411372213,1.482485314,-0.907311466,-0.208472096,-3.763854175,-0.455729252,1.224623474,-2.247149071,1.886445058,0.83442647,1.451303166,0.709536959,3.293470795,-0.316991051,1.45951349,2.53145057,-0.9678258,1.745861841,2.293470158,3.130133089,-0.824863983,-1.017223625,1.547277358,-0.687492775,1.596089473,2.203164713,0.59584446,-0.00134857,-2.251123527,1.462677303,-0.43210262,-2.713328706,0.565788393,5.215838072,3.502656928,-0.538325429,1.595490001
2002,1.461487851,1.641693538,0.50644492,0.835297473,-3.08804441,3.916234933,-4.167513879,3.451679212,0.826855018,-0.561869414,2.672107221,0.197705868,-1.805471215,-3.647141639,2.775425579,1.988912834,2.704942335,0.347989195,3.570849537,-2.370655764,-2.197158189,3.578760095,-1.994768676,0.055133283,2.249099796,0.102039093,0.326464738,-1.474324027,0.240921481,-1.536223603,0.713103668,0.79899359,1.603975638,-2.604279418,0.665144347,-2.709284976,-1.997277441,1.360288177,-1.699386452,-1.191192069,-2.751381513,0.526692523,-1.520690083,-3.046709299,-0.355868655
2003,-0.927135734,4.972124444,6.921292654,3.767893745,-5.780169004,2.856420535,-2.103496117,2.813427552,0.716531122,4.11327624,2.482782611,3.849962255,-0.657908287,-0.652065147,2.734888606,-0.179701063,4.402381459,1.520472247,2.808018542,3.481849628,4.332199984,4.60770822,-0.477300934,2.194746614,1.54168708,2.347423378,0.635362602,5.373290868,3.358549543,2.682856054,3.449111283,2.961056504,2.73257379,0.640935322,1.297366598,2.152108275,1.890754232,-2.812059383,2.532855701,1.586077149,3.010399143,3.790634564,1.004023395,-1.746790886,-1.479158008
2004,1.044508879,1.072515243,-2.400820376,1.549860703,-1.045403554,1.038286191,4.584566527,3.539467871,0.741968003,-0.488140033,-2.798932258,-2.033354986,2.950095841,-0.375971088,-0.788304745,2.67661529,0.954820667,-0.257378541,-1.326630182,0.045243512,1.54856207,3.235611623,-0.469690559,1.237047076,1.003237291,1.851175656,1.144918725,1.143940194,6.058434186,-1.049068627,-2.537847275,0.437327486,0.171423424,1.596169758,-1.329282446,-0.192798625,4.367186402,-0.517681822,1.341314392,-1.169595516,-2.867920307,-0.055495753,0.238377315,1.231576324,0.059536686
2006,-0.029954063,0.168537869,-0.389944342,0.434047485,0.327049511,1.538435322,4.048135218,0.412951498,1.210199791,-1.584064991,-2.97832128,1.067695322,-2.725180322,-0.892961241,2.231077733,0.838804663,3.373236667,-2.095034709,-1.343279505,0.525743281,0.205127179,0.352647614,-0.133553689,0.717058897,-0.517698108,1.33280953,-1.972702721,-1.764673966,2.93511331,-1.083353651,1.148481946,1.267157371,1.002619195,-0.462743378,2.180137476,-4.30947931,-1.500928453,2.063190107,-1.767858337,0.430857836,-4.772081241,4.813465476,0.309640225,0.853596687,1.000209107
2007,4.415988266,2.960921159,6.269139045,4.239319431,1.421689897,0.937223147,1.817014716,-0.206263847,2.414724289,1.213281544,1.301731542,2.687253763,0.772999803,0.28760065,-1.57100829,2.668513212,2.246160653,-0.543534116,1.213151833,0.822712747,2.84722252,0.113781631,1.608769297,-1.143642128,4.21683665,2.613929626,4.159014872,2.83511646,2.079630908,3.04350393,2.163134506,-0.738072682,0.418909484,0.528843872,2.389575589,2.18414517,-1.868370937,1.006043943,2.373375703,0.505765872,3.905749811,-1.994239816,4.174706384,-1.788235307,0.563302868
2008,1.713490787,3.257535447,3.277937222,5.547755378,-3.619701844,1.391507373,-1.547176082,-2.187667915,0.21744033,2.069880228,1.918850231,-0.585244004,1.669633469,-1.613701586,1.050094501,-1.17539515,1.158095231,1.476208705,-0.70254567,2.123781662,-0.295642412,-1.50995712,-0.551903324,0.184998512,0.314466944,0.338787035,1.002732103,1.01536234,1.852218397,2.466844479,1.010012972,-0.90327424,-1.008284782,1.664640537,1.89673244,2.094428763,1.382047478,-0.152881814,2.705194154,-0.002206567,0.692636336,4.378530394,-0.08295589,2.091080427,1.004962813
2009,3.010249164,-0.336933204,0.829806449,-3.210074385,1.432607315,-0.674158961,1.802593361,-0.664182401,-1.456715461,-0.769818652,0.013847164,-0.524948432,-0.251631001,1.470688159,1.87898152,-0.088962883,2.1988714,0.020687495,-1.569071927,-0.025150721,-3.030145664,-0.912269141,1.593003384,0.042818993,0.093748608,-1.304535817,-3.202070476,-2.396226201,0.538136818,0.914793594,-0.100995299,1.972581678,-3.307118932,-0.45330351,1.318955332,-3.291558449,-1.101181004,-2.824410597,-0.587241689,-1.416862733,-2.946039862,2.875673297,-0.934490325,-0.39342463,2.113217787
2010,-0.537206518,0.373809141,2.525798381,-1.087138404,-2.995901107,0.526839548,-3.53174708,-2.860793319,-1.499962987,-2.898991087,-1.146178709,-0.040445701,0.123513269,0.149476645,-0.871914269,-3.674247576,-6.570959141,-0.007522421,2.677430854,-3.463850053,-3.460094662,-0.331752311,-1.918337033,0.052830219,-2.408368915,-1.7027633,-2.400271023,-2.334308699,2.55673455,-2.144385386,-4.715811021,0.663411946,-0.161232599,0.632043085,-0.916157588,2.257673169,2.672713485,1.993802237,-0.008551078,-0.089886123,-6.083023671,-6.713438067,-0.726269754,-0.987043262,0.419593267
2011,0.438216393,1.483969917,0.573451628,-1.437637401,-1.353060542,1.011955256,1.075217301,1.508622414,1.667385484,2.153305723,-1.122041977,-0.716708662,-1.543258256,-3.05489688,-0.001089358,-0.336102807,3.585409783,1.358550599,2.410482243,0.452700899,-2.407947051,2.420153226,0.105794948,1.337692738,0.088037824,-0.389922487,-1.487229627,0.312083476,3.148667309,-0.841180239,3.072064579,-0.431495339,3.467577124,-1.491534002,1.065981885,-1.787397533,-0.64453879,-1.374107094,-2.051168821,-1.856859776,-1.171113289,2.640447259,-0.432322533,1.695530415,0.978251578
