ID,'roi_10_coords_-24_-39_-2_roi.mat','roi_11_coords_-38_7_-12_roi.mat','roi_12_coords_-39_-6_8_roi.mat','roi_13_coords_-41_-17_-4_roi.mat','roi_14_coords_-6_-88_-3_roi.mat','roi_15_coords_-11_-18_-19_roi.mat','roi_16_coords_-47_29_27_roi.mat','roi_17_coords_-8_14_-6_roi.mat','roi_18_coords_-14_0_3_roi.mat','roi_19_coords_-9_44_-2_roi.mat','roi_1_coords_-6_-6_28_roi.mat','roi_20_coords_-37_-20_19_roi.mat','roi_21_coords_-6_-37_27_roi.mat','roi_22_coords_-13_-72_40_roi.mat','roi_23_coords_-17_7_-10_roi.mat','roi_24_coords_-22_-46_63_roi.mat','roi_25_coords_-8_-16_1_roi.mat','roi_26_coords_6_-6_28_roi.mat','roi_27_coords_11_18_4_roi.mat','roi_28_coords_48_7_1_roi.mat','roi_29_coords_8_-69_23_roi.mat','roi_2_coords_-10_14_9_roi.mat','roi_30_coords_3_37_-16_roi.mat','roi_31_coords_38_10_14_roi.mat','roi_32_coords_34_41_-12_roi.mat','roi_35_coords_24_-39_-2_roi.mat','roi_36_coords_35_11_-4_roi.mat','roi_37_coords_41_-8_-6_roi.mat','roi_38_coords_36_-12_6_roi.mat','roi_39_coords_6_-88_-3_roi.mat','roi_3_coords_-50_-2_1_roi.mat','roi_40_coords_7_-20_-14_roi.mat','roi_41_coords_35_29_29_roi.mat','roi_42_coords_8_11_-6_roi.mat','roi_43_coords_25_-11_-4_roi.mat','roi_44_coords_13_44_16_roi.mat','roi_45_coords_38_-20_19_roi.mat','roi_46_coords_6_-37_27_roi.mat','roi_47_coords_6_-61_56_roi.mat','roi_48_coords_25_4_3_roi.mat','roi_49_coords_22_-46_63_roi.mat','roi_4_coords_-8_-69_23_roi.mat','roi_50_coords_6_-16_2_roi.mat','roi_6_coords_-38_10_10_roi.mat','roi_7_coords_-25_33_-16_roi.mat','roi_8_coords_-30_26_-5_roi.mat','roi_9_coords_-25_46_-11_roi.mat'
2001,0.642025441,-1.973329126,1.231897388,2.493367082,-2.47230207,1.62593889,0.288120144,0.520299866,-0.254843105,0.182661761,-0.454027312,0.547871207,-4.02055736,-1.42378084,-0.435976412,0.710597293,2.753088074,0.021621825,-1.662416535,0.166083705,-1.74184391,-0.707802673,5.005892158,1.239503638,-0.199561644,-1.206905773,-0.875606869,2.339697938,1.504520289,0.190383487,-0.318315404,2.322741108,0.089135577,2.738920928,0.945868635,0.18775491,1.113403567,-2.595479467,-2.017312358,1.347472054,-0.059761244,-0.219534913,0.760703305,0.130419724,-0.535102384,1.226193231,-0.217171909
2002,-2.436955177,3.060707115,-0.029722833,-2.401815472,2.418203197,5.110563263,2.184652114,-0.07105037,1.712716027,0.776564049,-3.109840842,-1.239842114,-1.49088741,-2.665506725,1.573887163,-0.630233241,-1.371341364,-2.246138478,0.389206361,3.354353303,-2.719907974,-1.627122182,1.408860976,-1.375421898,1.029151714,-1.699496368,2.683692264,0.798116767,-1.891992728,-0.684314088,-2.714595353,0.500575984,1.871656014,-0.454859756,0.849883291,1.878060647,-2.967730716,-4.252467837,-1.38528026,-0.432906786,-0.568489165,-1.764160011,0.130010686,0.741540469,0.986821823,-0.778960868,2.044950883
2003,-1.392363903,0.461323503,2.510814138,-2.522638638,-5.002868207,0.046556334,-0.851167698,-1.407442032,-0.101203347,1.747939549,2.379344596,-0.10536431,1.81317651,-2.994273492,1.4303208,-1.103314558,0.022480562,3.713935546,0.906086387,-1.234684492,-3.834886157,-0.954074251,2.464740159,-0.05270765,-1.772292556,-0.770003186,1.306715385,-0.046849261,-0.120333826,1.773973698,-1.857361609,1.996821643,1.412684202,0.391462,-2.889557494,5.20468764,-3.227573454,2.279130071,1.507166949,0.969908219,-1.672588168,-2.230217798,-0.256083076,-1.431541884,-0.241897296,-2.508897287,1.126748619
2005,1.575013656,-6.933120241,-4.110369364,-12.73066127,-11.15707869,-2.701967137,4.947052579,-3.705912509,-7.513200139,12.71586094,-7.06408738,-9.934394221,-3.718139691,-24.52583845,-7.38944611,-6.378495748,-5.52817678,-15.60071652,-1.210647139,-7.033047228,-19.18411942,0.116799248,2.126548052,-0.761324731,6.755159451,3.130992938,-5.485334623,-9.270743874,-6.538545791,-6.474607523,-3.305250744,-5.666315019,-4.694714443,-7.567867469,-15.02084217,-2.925907814,1.869510166,-13.25437931,-23.01943498,-6.014639693,27.85119641,-16.19955816,5.478075574,-8.738054646,6.796272755,-7.772590297,-16.79757975
2006,1.2254374,1.26587266,-0.166427814,2.080422847,-0.754171376,-2.13400907,1.063380479,-2.453066757,-2.221900622,1.145821718,1.273212454,0.168500756,-1.465791272,-0.30393714,-2.082710483,0.669064428,-2.84409191,0.012351393,3.496927391,-1.607966481,0.609829044,0.430507348,3.624486417,1.041769009,-4.927213202,-0.448104362,0.649179593,-5.272310534,-0.579137767,-4.075114179,-1.843643993,-2.129433532,4.015419364,-1.144430329,-2.837663901,1.785300671,3.692359447,-3.056790368,5.060412257,-2.58229704,-1.027139392,-0.548361111,-4.623201304,-0.578419353,1.2859601,-2.363297222,1.727097337
2007,1.573423195,0.621797993,-0.084837801,0.028282528,1.32759343,2.265205616,-0.91638355,1.838169967,0.058138341,0.854615086,-1.984687447,1.370990007,-0.397272976,1.929712092,-0.578442288,0.456262264,-3.439538035,-2.32149051,1.995598927,0.619688207,0.446422849,-5.316699068,0.593419742,-2.088711879,2.625399121,-1.704407839,2.437293518,1.814271098,0.728318447,-1.522646457,1.895333512,2.622438922,0.917284845,2.498347466,-1.581270901,-0.181382085,-3.425671128,-1.66029745,1.847468077,-0.310322782,0.275947689,-0.067583125,-3.859313048,1.560740064,1.293498154,0.863896729,-0.110593381
2008,-0.179662565,-0.047310576,0.74938345,0.721343668,3.904519775,1.200641923,0.838914653,-1.721863352,-1.781152234,2.93286434,4.83883376,2.343055082,0.930580692,0.19365032,-1.251712212,2.029529471,0.989501021,4.161506128,-1.781081834,0.324299433,1.044890806,2.900676957,3.964662284,1.97654735,-1.480790664,-0.184678291,0.109479359,2.701795933,1.270087973,2.221056437,1.169161889,1.250504657,0.830962423,-3.41064105,1.420898069,1.012663832,3.359387526,0.995315262,0.542803671,3.436523527,4.977456664,0.986807379,-0.362269432,1.750060797,0.990271922,-2.087539883,1.277517984
2009,-0.491722791,1.3954255,0.949106475,-2.388002862,2.282125441,2.851644602,2.135617575,2.935854232,1.070771297,-1.426695968,0.139631552,-2.692510746,-1.76734363,-3.311504126,0.195730436,0.363466433,0.183871908,-2.120964293,5.041221216,-3.539131253,-4.990167347,-0.827523726,0.447364628,-3.007221948,-2.508703873,1.887022106,0.535380217,-1.534824265,-3.404414372,4.319217208,-2.518654219,-0.937907399,-0.143158067,5.792639773,-0.581902953,-1.476170881,-7.105115821,-3.042063573,-3.745509315,-0.402451303,-2.200985676,-3.85958236,-3.632153628,-3.860257569,1.986319763,3.310924582,1.282446648
2010,-0.533138012,0.778261389,4.553926528,-1.193476788,0.38906266,2.541732448,-1.538938376,0.935052817,-1.695163527,0.668703834,-0.692452577,4.058422774,-0.360675717,-3.244022227,1.123392484,1.8835039,3.972844347,-0.575999878,3.785918613,2.52243182,-4.218258352,3.438079207,1.494252324,3.480532906,1.532983209,-0.998449359,3.308566556,-2.561710301,2.29012325,2.266272289,-1.81980003,1.634266524,5.670119647,1.803923834,1.619952949,4.937008639,5.276471473,2.222714188,-2.514442378,3.850967945,2.041706476,1.71872391,6.909491137,1.085122739,1.504611066,2.416347206,-0.141478166
2011,-0.535026051,-0.418583774,1.633687742,0.38861365,-1.923485772,-3.051730799,2.888029926,-0.55932799,-0.585723944,2.114627346,0.887964287,0.361577906,2.372903779,1.590493269,0.830084114,1.388021685,1.164898602,1.936774865,-0.550590583,1.090815433,-1.52112916,-0.621037105,-7.800988495,-1.395322355,0.392935518,-1.44207314,-1.783333468,-4.956675888,1.047685181,0.875681311,-1.771463953,-0.171769252,2.067106291,-4.131439432,-1.947954795,0.834770998,0.688983639,0.273666576,2.750531635,-0.382834491,0.24932498,-3.865858494,-1.60872229,-1.238986294,2.520170915,-0.149138659,-0.428335345
